No.,Execution Time
851,1.16285
852,1.13809
853,1.15943
854,1.18485
855,1.15878
856,1.18213
857,1.13496
858,1.12752
859,1.1341
860,1.10952
861,1.16784
862,1.20579
863,1.17303
864,1.20187
865,1.15547
866,1.19845
867,1.23392
868,1.11986
869,1.26188
870,1.17626
871,1.20317
872,1.13951
873,1.15113
874,1.23439
875,1.165
876,1.15851
877,1.17748
878,1.19963
879,1.19795
880,1.17572
881,1.18983
882,1.19003
883,1.13616
884,1.15554
885,1.18494
886,1.14046
887,1.15739
888,1.16002
889,1.24215
890,1.21422
891,1.17089
892,1.21077
893,1.19205
894,1.1759
895,1.23588
896,1.16872
897,1.24803
898,1.19359
899,1.22392
900,1.13647
901,1.19263
902,1.21461
903,1.21206
904,1.27594
905,1.12282
906,1.1957
907,1.20437
908,1.18753
909,1.19659
910,1.18028
911,1.18885
912,1.1861
913,1.16221
914,1.17179
915,1.19166
916,1.12987
917,1.18023
918,1.13975
919,1.19337
920,1.20297
921,1.15461
922,1.1603
923,1.17328
924,1.24501
925,1.13149
926,1.14916
927,1.14498
928,1.16769
929,1.16929
930,1.14614
931,1.21621
932,1.13817
933,1.1193
934,1.15396
935,1.20452
936,1.13584
937,1.16259
938,1.13716
939,1.16963
940,1.14112
941,1.17422
942,1.1764
943,1.2035
944,1.14433
945,1.16719
946,1.14517
947,1.21783
948,1.17445
949,1.16466
950,1.19213
951,1.13098
952,1.16556
953,1.13541
954,1.14592
955,1.15382
956,1.19131
957,1.17306
958,1.21054
959,1.17044
960,1.16177
961,1.13758
962,1.1541
963,1.16136
964,1.15901
965,1.18365
966,1.11854
967,1.17201
968,1.14314
969,1.16218
970,1.15807
971,1.17586
972,1.20394
973,1.1346
974,1.14603
975,1.16263
976,1.15963
977,1.1229
978,1.13575
979,1.12717
980,1.14928
981,1.12374
982,1.12998
983,1.13617
984,1.20764
985,1.14693
986,1.17314
987,1.1526
988,1.11668
989,1.114
990,1.13927
991,1.14204
992,1.17003
993,1.11687
994,1.19756
995,1.13083
996,1.12138
997,1.15306
998,1.13045
999,1.13122
1000,1.16923
1001,1.14847
1002,1.1255
1003,1.12243
1004,1.11763
1005,1.14657
1006,1.16427
1007,1.12105
1008,1.12623
1009,1.16621
1010,1.18221
1011,1.14392
1012,1.1579
1013,1.1294
1014,1.1312
1015,1.16985
1016,1.13779
1017,1.14515
1018,1.2085
1019,1.19291
1020,1.17785
1021,1.15769
1022,1.1773
1023,1.129
1024,1.1403
1025,1.13516
1026,1.17064
1027,1.14288
1028,1.12446
1029,1.10986
1030,1.11676
1031,1.13538
1032,1.13195
1033,1.1382
1034,1.15847
1035,1.13935
1036,1.16988
1037,1.16711
1038,1.11004
1039,1.17955
1040,1.15916
1041,1.14149
1042,1.12233
1043,1.12286
1044,1.11738
1045,1.11584
1046,1.14213
1047,1.19681
1048,1.23527
1049,1.13521
1050,1.12304
1051,1.12188
1052,1.11883
1053,1.15097
1054,1.14004
1055,1.15265
1056,1.16477
1057,1.13024
1058,1.1582
1059,1.15213
1060,1.18065
1061,1.15329
1062,1.21155
1063,1.23795
1064,1.17949
1065,1.14634
1066,1.19057
1067,1.15427
1068,1.13947
1069,1.16396
1070,1.13629
1071,1.23983
1072,1.18739
1073,1.20132
1074,1.21601
1075,1.1707
1076,1.15043
1077,1.14051
1078,1.2354
1079,1.15285
1080,1.16708
1081,1.19142
1082,1.22722
1083,1.20751
1084,1.18235
1085,1.15031
1086,1.17177
1087,1.14164
1088,1.14931
1089,1.14756
1090,1.14055
1091,1.12591
1092,1.16352
1093,1.16348
1094,1.12916
1095,1.17958
1096,1.12913
1097,1.13418
1098,1.13885
1099,1.16597
1100,1.16597
1101,1.23222
1102,1.1576
1103,1.15378
1104,1.16742
1105,1.13624
1106,1.17457
1107,1.15865
1108,1.19003
1109,1.14272
1110,1.17452
1111,1.14562
1112,1.1511
1113,1.13175
1114,1.17811
1115,1.21826
1116,1.22428
1117,1.1308
1118,1.15371
1119,1.12846
1120,1.13264
1121,1.15069
1122,1.17434
1123,1.20031
1124,1.22732
1125,1.16557
1126,1.1606
1127,1.17609
1128,1.20053
1129,1.15527
1130,1.15722
1131,1.14204
1132,1.13159
1133,1.16558
1134,1.19392
1135,1.13608
1136,1.13105
1137,1.14802
1138,1.14896
1139,1.18095
1140,1.13192
1141,1.18464
1142,1.14429
